date,confirmed,cure,dead,removed,xzqz,xzcy,密切接触者人数（累计）,医学观察人数（正在）,,,,境外输入确诊人数,境外输入治愈人数,境外输入死亡人数
2/28/2020,411 ,271 ,8 ,279 ,1 ,14 ,2683,,,,,,,
2/29/2020,413 ,276 ,8 ,284 ,2 ,5 ,2690,,,,,,,
3/1/2020,414 ,282 ,8 ,290 ,1 ,6 ,2728,,,,,,,
3/2/2020,414 ,288 ,8 ,296 ,0 ,6 ,2735,,,,,,,
3/3/2020,417 ,294 ,8 ,302 ,3 ,6 ,2796,,,,,,,
3/4/2020,418 ,297 ,8 ,305 ,1 ,3 ,2867,,,,,,,
3/5/2020,422 ,298 ,8 ,306 ,4 ,1 ,2874,,,,,,,
3/6/2020,426 ,303 ,8 ,311 ,4 ,5 ,3545,,,,,,,
3/7/2020,428 ,308 ,8 ,316 ,2 ,5 ,3632,,,,,,,
3/8/2020,428 ,315 ,8 ,323 ,0 ,7 ,3632,,,,,,,
3/9/2020,429 ,320 ,8 ,328 ,1 ,5 ,3650,,,,,,,
3/10/2020,435 ,326 ,8 ,334 ,6 ,6 ,3694,,,,,,,
3/11/2020,435 ,334 ,8 ,342 ,0 ,8 ,3725,,,,,,,
3/12/2020,436 ,342 ,8 ,350 ,1 ,8 ,3739,,,,,,,
3/13/2020,415 ,349 ,8 ,357 ,0 ,7 ,3785,466,,,,22,,
3/14/2020,415 ,353 ,8 ,361 ,0 ,4 ,3797,475,,,,27,,
3/15/2020,415 ,358 ,8 ,366 ,0 ,5 ,3867,441,,,,31,,
3/16/2020,415 ,366 ,8 ,374 ,0 ,8 ,3884,410,,,,40,2,0
3/17/2020,415 ,369 ,8 ,377 ,0 ,3 ,3921,307,,,,43,4,0
3/18/2020,415 ,373 ,8 ,381 ,0 ,4 ,3975,344,,,,64,6,0
3/19/2020,415 ,378 ,8 ,386 ,0 ,5 ,4001,331,,,,70,6,0
3/20/2020,415 ,385 ,8 ,393 ,0 ,7 ,4033,330,,,,84,7,0
3/21/2020,415 ,391 ,8 ,399 ,0 ,6 ,4124,380,,,,97,7,0
3/22/2020,415 ,392 ,8 ,400 ,0 ,1 ,4164,381,,,,107,8,0
3/23/2020,416 ,392 ,8 ,400 ,1 ,0 ,,,,,,138,9,0
3/24/2020,416 ,392 ,8 ,400 ,0 ,0 ,,,,,,143,9,0
3/25/2020,416 ,392 ,8 ,400 ,0 ,0 ,,,,,,149,11,0
3/26/2020,416 ,394 ,8 ,402 ,0 ,2 ,,,,,,153,12,0
